movie_id,genre_id
tt0107822,gd0000004
tt1120985,gd0000006
tt1120985,gd0000004
tt0018455,gd0000006
tt0018455,gd0000004
tt0499448,gd0000001
tt0499448,gd0000005
tt0499448,gd0000010
tt0133152,gd0000001
tt0133152,gd0000005
tt0133152,gd0000008
tt1289401,gd0000001
tt1289401,gd0000003
tt1289401,gd0000009
tt2101441,gd0000013
tt2101441,gd0000006
tt0475784,gd0000006
tt0475784,gd0000015
tt0475784,gd0000008
tt1536537,gd0000001
tt1536537,gd0000005
tt1536537,gd0000013
tt0113957,gd0000001
tt0113957,gd0000013
tt0113957,gd0000006
tt0100507,gd0000006
tt0100507,gd0000011
tt0302886,gd0000003
tt0460681,gd0000006
tt0460681,gd0000009
tt0460681,gd0000012
tt3011894,gd0000003
tt3011894,gd0000006
tt3011894,gd0000002
tt0114319,gd0000003
tt0114319,gd0000006
tt3748528,gd0000001
tt3748528,gd0000005
tt3748528,gd0000008
tt0107207,gd0000016
tt0107207,gd0000006
tt0120363,gd0000019
tt0120363,gd0000005
tt0120363,gd0000003
tt0109707,gd0000016
tt0109707,gd0000003
tt0109707,gd0000006
tt0103893,gd0000001
tt0103893,gd0000003
tt0103893,gd0000009
tt1217209,gd0000019
tt1217209,gd0000005
tt1217209,gd0000003
tt0116126,gd0000003
tt0116126,gd0000013
tt0140352,gd0000016
tt0140352,gd0000006
tt0140352,gd0000002
tt0406375,gd0000001
tt0406375,gd0000005
tt0406375,gd0000003
tt0120794,gd0000019
tt0120794,gd0000005
tt0120794,gd0000006
tt3659388,gd0000005
tt3659388,gd0000006
tt3659388,gd0000008
tt0160127,gd0000001
tt0160127,gd0000005
tt0160127,gd0000003
tt0103772,gd0000006
tt0103772,gd0000015
tt0103772,gd0000002
tt0099810,gd0000001
tt0099810,gd0000005
tt0099810,gd0000002
tt0116705,gd0000003
tt0116705,gd0000010
tt0298148,gd0000019
tt0298148,gd0000005
tt0298148,gd0000003
tt0351283,gd0000019
tt0351283,gd0000005
tt0351283,gd0000003
tt0102744,gd0000001
tt0102744,gd0000005
tt0102744,gd0000006
tt1298650,gd0000001
tt1298650,gd0000005
tt1298650,gd0000009
tt1187064,gd0000009
tt1187064,gd0000015
tt1187064,gd0000002
tt0149261,gd0000001
tt0149261,gd0000008
tt0149261,gd0000002
tt0106977,gd0000001
tt0106977,gd0000013
tt0106977,gd0000006
tt0452594,gd0000003
tt0452594,gd0000006
tt0452594,gd0000004
tt2660888,gd0000001
tt2660888,gd0000005
tt2660888,gd0000008
tt0103064,gd0000001
tt0103064,gd0000008
tt0103064,gd0000002
tt0959337,gd0000006
tt0959337,gd0000004
tt0295700,gd0000012
tt0107048,gd0000003
tt0107048,gd0000009
tt0107048,gd0000004
tt0416320,gd0000006
tt0416320,gd0000004
tt0416320,gd0000002
tt0353969,gd0000001
tt0353969,gd0000013
tt0353969,gd0000006
tt0405159,gd0000006
tt0405159,gd0000011
tt1781769,gd0000006
tt1781769,gd0000004
tt0337741,gd0000003
tt0337741,gd0000006
tt0337741,gd0000004
tt0120828,gd0000001
tt0120828,gd0000005
tt0120828,gd0000003
tt0120903,gd0000001
tt0120903,gd0000005
tt0120903,gd0000008
tt0232500,gd0000001
tt0232500,gd0000013
tt0232500,gd0000002
tt0113442,gd0000003
tt0113442,gd0000010
tt0113442,gd0000004
tt0396171,gd0000013
tt0396171,gd0000006
tt0396171,gd0000009
tt0458352,gd0000003
tt0458352,gd0000006
tt1392190,gd0000001
tt1392190,gd0000005
tt1392190,gd0000008
tt0458339,gd0000001
tt0458339,gd0000005
tt0458339,gd0000008
tt0110322,gd0000006
tt0110322,gd0000004
tt0110322,gd0000014
tt0324216,gd0000012
tt0382625,gd0000015
tt0382625,gd0000002
tt0101545,gd0000003
tt0101545,gd0000004
tt0360486,gd0000006
tt0360486,gd0000009
tt0360486,gd0000012
tt0129290,gd0000016
tt0129290,gd0000003
tt0129290,gd0000006
tt1228705,gd0000001
tt1228705,gd0000005
tt1228705,gd0000008
tt1430132,gd0000001
tt1430132,gd0000005
tt1430132,gd0000008
tt0133093,gd0000001
tt0133093,gd0000008
tt0103241,gd0000003
tt0230011,gd0000019
tt0230011,gd0000001
tt0230011,gd0000005
tt0887912,gd0000006
tt0887912,gd0000017
tt0887912,gd0000002
tt0376994,gd0000001
tt0376994,gd0000005
tt0376994,gd0000009
tt0101889,gd0000003
tt0101889,gd0000006
tt0101889,gd0000009
tt0106582,gd0000001
tt0106582,gd0000005
tt0106582,gd0000002
tt1591095,gd0000012
tt1591095,gd0000015
tt1591095,gd0000002
tt5439796,gd0000003
tt5439796,gd0000013
tt5439796,gd0000006
tt0408236,gd0000006
tt0408236,gd0000012
tt0408236,gd0000020
tt0117218,gd0000003
tt0117218,gd0000004
tt0117218,gd0000008
tt1355644,gd0000006
tt1355644,gd0000008
tt1355644,gd0000002
tt5580390,gd0000005
tt5580390,gd0000006
tt5580390,gd0000009
tt0461770,gd0000019
tt0461770,gd0000003
tt0461770,gd0000010
tt0038650,gd0000006
tt0038650,gd0000010
tt0038650,gd0000009
tt0234215,gd0000001
tt0234215,gd0000008
tt1091191,gd0000001
tt1091191,gd0000016
tt1091191,gd0000006
tt0117666,gd0000006
tt0765429,gd0000016
tt0765429,gd0000013
tt0765429,gd0000006
tt0116996,gd0000003
